dataset,split,protocol,seed,train_seed,support_query_seed,support_frac,method,method_label,method_family,is_oracle,drift_space,selected_hparams,selection_source,AUC_old,AUC_new,RMSE_old,RMSE_new,ACC_old,ACC_new,F1_old,F1_new,TMD
math1,random,f4877a6c81b57ed6,1,1,,,G-NCDM(Anchor),Base,anchor,False,gncdm_concept,{},fixed_or_not_applicable,0.7988904857581687,,0.4281393362260246,,0.7289239519310156,,0.7440006930607295,,
math1,random,f4877a6c81b57ed6,1,1,,,EWC,EWC (lambda=10000),continual_learning_baseline,False,embedding,"{""lambda"": 10000}",fixed_from_existing_result,0.7635237473169045,0.8309340096911495,0.5008739101995074,0.4143991394850934,0.6898449683515274,0.7502948609941028,0.676056338028169,0.6236668359573387,0.0926385149359703
math1,random,f4877a6c81b57ed6,1,1,,,DER++,DER++ (mem=5000),continual_learning_baseline,False,embedding,"{""mem_size"": 5000}",fixed_from_existing_result,0.7975760775233267,0.8424634862892744,0.4256095179749156,0.3908087652498389,0.7134207870837538,0.7521482729570346,0.7294769657083477,0.6695124691080656,0.010484226047992706
math1,random,f4877a6c81b57ed6,1,1,,,C-LoRA,C-LoRA (lambda=10000),continual_learning_baseline,False,embedding,"{""lambda"": 10000}",fixed_from_existing_result,0.7685760129498548,0.7996716582937524,0.500392780437854,0.4531253446209397,0.6933308870745803,0.732603201347936,0.6715787405442578,0.5999495840685657,0.11257345974445343
math1,random,f4877a6c81b57ed6,1,1,,,X-DER,X-DER (mem=5000),gncdm_baseline,False,gncdm_concept,"{""mem_size"": 5000}",fixed_from_existing_result,0.8072228640126631,0.8437750086389202,0.42950998176687755,0.3882826851530727,0.7249793596917714,0.7501263689974726,0.7546644844517185,0.6808693780933935,0.0796668604016304
math1,random,f4877a6c81b57ed6,1,1,,,Full-Replay,Full Replay Oracle,oracle,True,gncdm_concept,{},fixed_or_not_applicable,0.803648215219663,0.8402663020879209,0.422424172979896,0.39277188484686393,0.7247041555820567,0.750463352990733,0.7355714159837872,0.6818474758324382,0.094994455575943
math1,random,f4877a6c81b57ed6,1,1,,,C-LoRA-GNCDM,C-LoRA-GNCDM (lambda=10),gncdm_baseline,False,gncdm_concept,"{""lambda"": 10.0}",fixed_from_existing_result,0.6614259377775433,0.7676794216528356,0.5566742437086687,0.4676833863133531,0.6249885331620952,0.7118786857624263,0.6191540898080865,0.5128205128205128,0.2121761441230774
math1,random,f4877a6c81b57ed6,1,1,,,ICD,ICD,external_baseline,False,icd_trait,{},fixed_protocol_external_icd,0.7865490922355978,0.7251426833427314,0.4682476738552512,0.4719353558732285,0.686175580221998,0.7110362257792755,0.6287574606619641,0.5143018974794675,0.9575483202934264
math1,random,f4877a6c81b57ed6,1,1,,,CLEAN-Full,Ours (Dynamic DNA),gncdm_strategy,False,gncdm_concept,{},fixed_or_not_applicable,0.7988904857581686,0.7619330026327061,0.42813933686194744,0.4242316426928816,0.7289239519310156,0.754675652906487,0.7440006930607295,0.6100696304231388,0.0
math1,random,f4877a6c81b57ed6,1,1,,,CLEAN-LoRA,Ours (LoRA),gncdm_strategy,False,gncdm_concept,{},fixed_or_not_applicable,0.7988904857581686,0.597886745700553,0.42813933686194744,0.4808065928374606,0.7289239519310156,0.680033698399326,0.7440006930607295,0.5427401878160366,0.0
