dataset,split,protocol,seed,train_seed,support_query_seed,support_frac,method,method_label,method_family,is_oracle,drift_space,selected_hparams,selection_source,AUC_old,AUC_new,RMSE_old,RMSE_new,ACC_old,ACC_new,F1_old,F1_new,TMD
math1,random,f4877a6c81b57ed6,42,42,,,G-NCDM(Anchor),Base,anchor,False,gncdm_concept,{},fixed_or_not_applicable,0.8051017775961157,,0.41928836941672715,,0.7252545638014861,,0.7384507903239892,,
math1,random,f4877a6c81b57ed6,42,42,,,EWC,EWC (lambda=10000),continual_learning_baseline,False,embedding,"{""lambda"": 10000}",fixed_from_existing_result,0.767643771482935,0.8072479348777238,0.49946675579419386,0.4332496093756634,0.687368131364095,0.7265374894692502,0.6699593259732713,0.6080656846172422,0.09730657935142517
math1,random,f4877a6c81b57ed6,42,42,,,DER++,DER++ (mem=5000),continual_learning_baseline,False,embedding,"{""mem_size"": 5000}",fixed_from_existing_result,0.7968442842842031,0.8409161345919933,0.4243239586407787,0.3904197848049092,0.7175488487294743,0.7560235888795283,0.7281236203090508,0.6723981900452489,0.008084265515208244
math1,random,f4877a6c81b57ed6,42,42,,,C-LoRA,C-LoRA (lambda=10000),continual_learning_baseline,False,embedding,"{""lambda"": 10000}",fixed_from_existing_result,0.7692132787400127,0.7899606838160211,0.49794575319188866,0.457916715528505,0.6947986423263921,0.7127211457455771,0.6829919009051929,0.5860645787812576,0.10951714217662811
math1,random,f4877a6c81b57ed6,42,42,,,X-DER,X-DER (mem=5000),gncdm_baseline,False,gncdm_concept,"{""mem_size"": 5000}",fixed_from_existing_result,0.810277459699899,0.8483441003013146,0.4208554356790991,0.3883088339034843,0.7272727272727273,0.7580454928390902,0.7472153728424453,0.6616399622997172,0.07225276529788971
math1,random,f4877a6c81b57ed6,42,42,,,Full-Replay,Full Replay Oracle,oracle,True,gncdm_concept,{},fixed_or_not_applicable,0.8062934455221341,0.8395781998573103,0.42289098349172644,0.3938517308656196,0.7224107880011008,0.749452401010952,0.7260050706265846,0.6722503857174345,0.06958228349685669
math1,random,f4877a6c81b57ed6,42,42,,,C-LoRA-GNCDM,C-LoRA-GNCDM (lambda=10),gncdm_baseline,False,gncdm_concept,"{""lambda"": 10.0}",fixed_from_existing_result,0.6864852118297249,0.7333912523686452,0.5304686596022261,0.45601949012139464,0.6532428217594716,0.7192923336141533,0.6532746285085306,0.5245433789954338,0.18262945115566254
math1,random,f4877a6c81b57ed6,42,42,,,ICD,ICD,external_baseline,False,icd_trait,{},fixed_protocol_external_icd,0.7865490922355978,0.7251426833427314,0.4682476738552512,0.4719353558732285,0.686175580221998,0.7110362257792755,0.6287574606619641,0.5143018974794675,0.9575483202934264
math1,random,f4877a6c81b57ed6,42,42,,,CLEAN-Full,Ours (Dynamic DNA),gncdm_strategy,False,gncdm_concept,{},fixed_or_not_applicable,0.805101794500166,0.6852953657494228,0.4192883694522744,0.45408190949280813,0.7252545638014861,0.7246840775063185,0.7384507903239892,0.577559462254395,0.0
math1,random,f4877a6c81b57ed6,42,42,,,CLEAN-LoRA,Ours (LoRA),gncdm_strategy,False,gncdm_concept,{},fixed_or_not_applicable,0.805101794500166,0.6601317030680777,0.4192883694522744,0.4773859163858633,0.7252545638014861,0.6741364785172704,0.7384507903239892,0.5373205741626794,0.0
math1,random,f4877a6c81b57ed6,84,84,,,G-NCDM(Anchor),Base,anchor,False,gncdm_concept,{},fixed_or_not_applicable,0.8040960204146833,,0.4277201120960452,,0.7149802770388037,,0.6934990628391042,,
math1,random,f4877a6c81b57ed6,84,84,,,EWC,EWC (lambda=10000),continual_learning_baseline,False,embedding,"{""lambda"": 10000}",fixed_from_existing_result,0.7646359831108254,0.8095387230659546,0.5079574066383125,0.43711224867971477,0.6780111916337951,0.7317607413647852,0.6411042944785276,0.6245283018867924,0.09970487654209137
math1,random,f4877a6c81b57ed6,84,84,,,DER++,DER++ (mem=5000),continual_learning_baseline,False,embedding,"{""mem_size"": 5000}",fixed_from_existing_result,0.798879160044505,0.8403157390461377,0.42321949118772617,0.39153049927028005,0.722502522704339,0.7531592249368155,0.738796304291512,0.6888936079847101,0.00796443596482277
math1,random,f4877a6c81b57ed6,84,84,,,C-LoRA,C-LoRA (lambda=10000),continual_learning_baseline,False,embedding,"{""lambda"": 10000}",fixed_from_existing_result,0.7676267322002888,0.79246590794738,0.5045080732937532,0.4611377319353364,0.6880102742867626,0.7226621735467565,0.6648930929155582,0.6092117758784426,0.10813914239406586
math1,random,f4877a6c81b57ed6,84,84,,,X-DER,X-DER (mem=5000),gncdm_baseline,False,gncdm_concept,"{""mem_size"": 5000}",fixed_from_existing_result,0.8041870318211984,0.8429779317935604,0.4203281503013554,0.3896270090664793,0.7233281350334831,0.7550126368997473,0.7258181818181818,0.6601215521271622,0.044964369386434555
math1,random,f4877a6c81b57ed6,84,84,,,Full-Replay,Full Replay Oracle,oracle,True,gncdm_concept,{},fixed_or_not_applicable,0.8030154120987697,0.8374227986688659,0.4243717671615896,0.3956445782914682,0.7168149711035685,0.7563605728727886,0.7064752305790625,0.6548926014319809,0.045896731317043304
math1,random,f4877a6c81b57ed6,84,84,,,C-LoRA-GNCDM,C-LoRA-GNCDM (lambda=10),gncdm_baseline,False,gncdm_concept,"{""lambda"": 10.0}",fixed_from_existing_result,0.6816512451016288,0.7065425924489941,0.5653313042727579,0.46663575968461324,0.606182918998257,0.7167649536647009,0.5907921075207321,0.50804799531753,0.20196278393268585
math1,random,f4877a6c81b57ed6,84,84,,,ICD,ICD,external_baseline,False,icd_trait,{},fixed_protocol_external_icd,0.7865490922355978,0.7251426833427314,0.4682476738552512,0.4719353558732285,0.686175580221998,0.7110362257792755,0.6287574606619641,0.5143018974794675,0.9575483202934264
math1,random,f4877a6c81b57ed6,84,84,,,CLEAN-Full,Ours (Dynamic DNA),gncdm_strategy,False,gncdm_concept,{},fixed_or_not_applicable,0.8040960204146833,0.6747349915543106,0.4277201129275152,0.45416427151197314,0.7149802770388037,0.7590564448188711,0.6934990628391042,0.5921277809469481,0.0
math1,random,f4877a6c81b57ed6,84,84,,,CLEAN-LoRA,Ours (LoRA),gncdm_strategy,False,gncdm_concept,{},fixed_or_not_applicable,0.8040960204146833,0.6717122477930916,0.4277201129275152,0.4753208863358564,0.7149802770388037,0.7027801179443977,0.6934990628391042,0.55700652938222,0.0
